code,name,date,fullName,avgYld,issueDate,maturity,coupon,payPerYr,compPerYr,durT,mdurT,convT
B83426,P13冠德1,20250113,冠德 113年度第 1次有擔保普通公司債,2.05,20241211,20291211,2.06,1,1,4.7192,4.6248,1324.8188
B83706,P10榮剛1,20211129,榮剛 110年度第 1次有擔保普通公司債,0.65,20211129,20281129,0.65,1,1,6.8696,6.8253,2695.7962
B84307,P12中鼎1,20230111,中鼎 112年度第 1期無擔保普通公司債,2.4,20230111,20260111,2.4,1,1,2.9354,2.8672,556.0468
B84308,P14中鼎1A,20250331,中鼎 114年度第 1期無擔保普通公司債甲券,2.1,20250331,20300331,2.1,1,1,4.8063,4.7079,1364.8528
B84309,P14中鼎1B,20250331,中鼎 114年度第 1期無擔保普通公司債乙券,2.28,20250331,20320331,2.28,1,1,6.5627,6.4173,2454.1947
B84705,P11太子1,20220616,太子 111年度第 1次有擔保普通公司債,1.58,20220616,20270616,1.58,1,1,4.8525,4.7773,1396.8015
B84706,P12太子1,20230613,太子 112年度第 1次有擔保普通公司債,1.54,20230613,20280613,1.54,1,1,4.8561,4.7828,1399.3295
B84810,P10亞國1,20210507,亞昕 110年度第 1次有擔保普通公司債,0.6,20210507,20260507,0.6,1,1,4.9434,4.9139,1460.1672
B84814,P13亞國1,20240327,亞昕 113年度第 1次有擔保普通公司債,1.7685,20240327,20290327,1.77,1,1,3.4105,3.3515,836.8252
B84815,P13亞國2,20240327,亞昕 113年度第 2次有擔保普通公司債,1.75,20240327,20270327,1.75,1,1,2.9527,2.9022,567.5552
B84816,P13亞國3,20240624,亞昕 113年度第 3次有擔保普通公司債,2.198,20240624,20270624,2.2,1,1,2.9407,2.8778,559.5537
B84817,P13亞國4,20241127,亞昕 113年度第 4次有擔保普通公司債,2.01,20241127,20291127,2.01,1,1,4.8142,4.7197,1370.273
B84818,P13亞國5,20241213,亞昕 113年度第 5次有擔保普通公司債,2.0,20241213,20271213,2.0,1,1,2.946,2.8885,563.0401
B84819,P14亞國1,20250114,亞昕 114年度第 1次有擔保普通公司債,2.2,20250114,20290114,2.2,1,1,3.879,3.796,919.0251
B84820,P14亞國2,20250326,亞昕 114年度第 2次有擔保普通公司債,2.07,20250326,20300326,2.07,1,1,4.8089,4.7118,1366.6425
B84821,P14亞國3,20250708,亞昕 114年度第 3次有擔保普通公司債,2.09,20250708,20280708,2.09,1,1,2.9436,2.8837,561.4667
B84905,P10三發1,20211224,三發地產 110年度第 1次有擔保普通公司債,0.67,20211224,20261224,0.67,1,1,4.9328,4.9,1455.4425
B84906,P11三發1,20220110,三發地產 110年度第 2次有擔保普通公司債,0.68,20220110,20270110,0.68,1,1,4.9362,4.9029,1454.9643
B84907,P11三發2,20220915,三發地產 111年度第 1次有擔保普通公司債,1.7,20220914,20270914,1.7,1,1,4.839,4.7584,1387.9783
B84908,P13三發1,20240718,三發地產 113年度第 1次有擔保普通公司債,2.08,20240718,20290718,2.08,1,1,4.808,4.7105,1366.0339
B85108,P10潤隆1,20211112,潤隆 110年度第 1次有擔保普通公司債,0.57,20211110,20261110,0.57,1,1,4.938,4.91,1459.3364
B85109,P11潤隆1,20220411,潤隆 111年度第 1次有擔保普通公司債,0.8495,20220411,20270411,0.85,1,1,4.92,4.8785,1443.6469
B85110,P13潤隆1,20240329,潤隆 113年度第 1次有擔保普通公司債,1.7,20240328,20290328,1.7,1,1,4.839,4.7583,1387.9334
B85111,P13潤隆2,20240502,潤隆 113年度第 2次有擔保普通公司債,1.73,20240502,20290502,1.73,1,1,4.839,4.7569,1387.3501
B85112,P13潤隆3,20241224,潤隆 113年度第 3次有擔保普通公司債,2.05,20241220,20291220,2.05,2,2,3.6079,3.5358,881.1478
B85113,P14潤隆1,20250903,潤隆 114年度第 1次有擔保普通公司債,2.05,20250903,20280903,2.05,1,1,2.9447,2.8859,562.1865
B85204,P10太設1,20210604,太設 110年度第 1次有擔保普通公司債,0.6275,20210604,20260604,0.63,1,1,4.941,4.9103,1458.6054
B85205,P11太設1,20220401,太設 111年度第 1次有擔保普通公司債,0.8471,20220401,20270401,0.85,1,1,4.4836,4.446,1243.6377
B85308,P10達麗1,20210720,達麗 110年度第 1次有擔保普通公司債,0.515,20210427,20260427,0.55,1,1,4.7186,4.6944,1347.1564
B85309,P10達麗2,20210805,達麗 110年度第 2次有擔保普通公司債,0.55,20210805,20260805,0.55,1,1,4.9487,4.9217,1463.7223
B85310,P13達麗1,20240624,達麗 113年度第 1次有擔保普通公司債,1.999,20240624,20270624,2.0,1,1,2.946,2.8885,563.0695
B85311,P14達麗1,20250428,達麗 114年度第 1次有擔保普通公司債,2.098,20250425,20300425,2.1,1,1,4.1488,4.064,1068.0718
B85410,P12中龍1,20230613,中龍鋼鐵 112年度第 1期無擔保普通公司債,1.55,20230613,20260613,1.55,1,1,2.9582,2.9133,571.2194
B85411,P12中龍2,20240314,中龍鋼鐵 112年度第 2期無擔保普通公司債,1.74,20231212,20281212,1.79,1,1,4.114,4.044,1050.7311
B85412,P13中龍1,20250627,中龍鋼鐵 113年度第 1期無擔保普通公司債,2.0015,20240423,20290423,1.72,1,1,3.2506,3.1871,677.9947
B85413,P13中龍2,20250627,中龍鋼鐵 113年度第 2期無擔保普通公司債,2.0015,20240827,20290827,2.25,1,1,3.5012,3.4329,810.106
B85414,P14中龍1,20250417,中龍鋼鐵 114年度第 1期無擔保普通公司債,2.115,20250106,20300106,2.19,1,1,4.0619,3.9782,1025.4943
B85503,P10士開1,20210114,士開 109年度第 1次有擔保普通公司債,0.62,20210114,20260114,0.62,1,1,4.9404,4.91,1458.8097
B85505,P13士開1,20250417,士開 113年度第 1次有擔保普通公司債,2.08,20240815,20290815,2.15,1,1,4.1295,4.0458,1061.642
B85702,P11隆大1,20220112,隆大 110年度第 1次有擔保普通公司債,0.68,20220112,20270112,0.68,1,1,4.9362,4.9029,1454.9769
B85703,P12隆大1,20230830,隆大 112年度第 1次有擔保普通公司債,1.6488,20230830,20280830,1.65,1,1,4.8462,4.7679,1392.5826
B85704,P13隆大1,20241113,隆大 113年度第 1次有擔保普通公司債,1.95,20241113,20291113,1.95,1,1,4.8195,4.7277,1373.9229
B86004,P09力麒2,20230629,力麒 109年度第 2次有擔保普通公司債,1.55,20201214,20251214,0.58,1,1,2.4462,2.409,401.837
B86005,P14力麒1,20250814,力麒 114年度第 1次有擔保普通公司債,1.978,20250812,20300812,1.98,1,1,4.8113,4.7185,1369.7017
B86006,P14力麒2,20251020,力麒 114年度第 2次有擔保普通公司債,1.948,20251016,20301016,1.95,1,1,4.8085,4.7172,1368.8937
B86211,P12富旺1,20231219,富旺 112年度第 1次有擔保普通公司債,1.769,20231219,20261219,1.77,1,1,2.9522,2.9012,567.24
B86212,P13富旺1,20240112,富旺 113年度第 1次有擔保普通公司債,1.7693,20240112,20270112,1.77,1,1,2.9522,2.9011,567.2278
B86213,P13富旺2,20240507,富旺 113年度第 2次有擔保普通公司債,1.689,20240507,20270507,1.69,1,1,2.9544,2.9054,568.6386
B86214,P13富旺3,20240711,富旺 113年度第 3次有擔保普通公司債,2.15,20240711,20290711,2.15,1,1,4.8019,4.7013,1361.7903
B86306,P10愛山林2,20211125,愛山林 110年度第 2次有擔保普通公司債,0.6,20211125,20261125,0.6,1,1,4.9439,4.9144,1460.3476
B86309,P12愛山林1,20230921,愛山林 112年度第 1次有擔保普通公司債,1.6192,20230921,20260921,1.62,1,1,2.5179,2.478,456.7858
B86310,P13愛山林1,20240729,愛山林 113年度第 1次有擔保普通公司債,2.0996,20240729,20270729,2.1,1,1,2.9433,2.8831,561.2765
B86311,P14愛山林1,20251016,愛山林 114年度第 1次無擔保普通公司債,2.5,20251016,20281016,2.5,1,1,2.9328,2.8619,554.3027
B86406,P09興富發2,20201231,興富發 109年度第 2次有擔保普通公司債,0.53,20201230,20251230,0.53,1,1,4.9475,4.9214,1463.4721
B86407,P10興富發1,20230111,興富發 110年度第 1次有擔保普通公司債,1.48,20210114,20260114,0.52,1,1,2.9803,2.937,566.1341
B86409,P10興富發3,20210915,興富發 110年度第 3次有擔保普通公司債,0.55,20210915,20260915,0.55,1,1,4.9483,4.9212,1463.5542
B86410,P11興富發1,20241210,興富發 111年度第 1次有擔保普通公司債,1.948,20220418,20270418,0.9,1,1,2.33,2.2857,368.5647
B86411,P12興富發1,20231211,興富發 112年度第 1次有擔保普通公司債,1.7,20231211,20261211,1.7,1,1,2.9541,2.905,568.4791
B86412,P13興富發1,20240111,興富發 113年度第 1次有擔保普通公司債,1.7992,20240111,20270111,1.8,2,2,2.214,2.1751,360.1432
B86413,P14興富發1,20250613,興富發 114年度第 1次有擔保普通公司債,2.1,20250613,20280613,2.1,1,1,2.9433,2.8832,561.2797
B86414,P14興富發2,20250623,興富發 114年度第 2次有擔保普通公司債,2.08,20250620,20280620,2.08,1,1,2.9356,2.8762,559.018
B86415,P14興富發3,20250901,興富發 114年度第 3次有擔保普通公司債,2.06,20250901,20280901,2.06,1,1,2.9444,2.8854,562.0109
B86507,P11新潤1,20221003,新潤 111年度第 1次有擔保普通公司債,1.7995,20221003,20271003,1.8,1,1,4.8328,4.7475,1383.1066
B86508,P12新潤1,20230911,新潤 112年度第 1次有擔保普通公司債,1.6488,20230911,20280911,1.65,1,1,4.8462,4.7679,1392.5824
B86509,P13新潤1A,20240627,新潤 113年度第 1次有擔保普通公司債甲券,2.0995,20240627,20290627,2.1,1,1,3.3943,3.3249,825.6001
B86510,P13新潤1B,20240627,新潤 113年度第 1次有擔保普通公司債乙券,2.0995,20240627,20290627,2.1,1,1,4.8063,4.7079,1364.849
B86511,P13新潤2,20241112,新潤 113年度第 2次有擔保普通公司債,1.9695,20241112,20291112,1.97,1,1,3.4007,3.3353,829.9776
B86603,P10永信建1,20211013,永信建 110年度第 1次有擔保普通公司債,0.57,20210720,20260720,0.59,1,1,4.7067,4.68,1341.8973
B86604,P10永信建2,20210927,永信建 110年度第 2次有擔保普通公司債,0.55,20210927,20260927,0.55,1,1,4.9487,4.9217,1463.7203
B86605,P11永信建1,20220608,永信建 111年度第 1次有擔保普通公司債甲券,1.8,20220608,20270608,1.8,1,1,4.8328,4.7478,1383.2156
B86606,P11永信建2,20220608,永信建 111年度第 1次有擔保普通公司債乙券,1.85,20220608,20270608,1.85,1,1,4.8283,4.7411,1380.1513
B86607,P12永信建1,20230721,永信建 112年度第 1次無擔保普通公司債,2.975,20230721,20280721,2.975,1,1,4.7318,4.5968,1314.0186
B86608,P14永信建1,20250730,永信建 114年度第 1次無擔保普通公司債,3.2,20250729,20300729,3.2,1,1,4.7105,4.5663,1300.1111
B86703,P10聯上1,20220729,聯上 110年度第 1次有擔保普通公司債,1.6,20210903,20260903,0.65,1,1,4.0375,3.9742,962.9288
B86704,P10聯上2,20211026,聯上 110年度第 2次有擔保普通公司債,0.5673,20211026,20261026,0.57,1,1,4.2122,4.1884,1123.5067
B86705,P11聯上1,20221116,聯上 111年度第 1次有擔保普通公司債,2.1995,20221116,20271116,2.2,1,1,4.1036,4.0159,1049.0937
B86802,P10夆典1,20211109,夆典 110年度第 1次有擔保普通公司債,0.5576,20211109,20261109,0.56,1,1,4.9477,4.9203,1463.2794
B86904,P10和潤1,20210415,和潤企業 110年度第 1次無擔保普通公司債,0.55,20210415,20260415,0.55,1,1,4.9487,4.9217,1463.7235
B86905,P10和潤2,20210722,和潤企業 110年度第 2次無擔保普通公司債,0.56,20210722,20260722,0.56,1,1,4.9476,4.92,1462.8759
B86909,P12和潤1,20230329,和潤企業 112年度第 1次無擔保普通公司債,1.5,20230328,20280328,1.5,1,1,4.857,4.7855,1400.4548
B86911,P14和潤1,20250721,和潤企業 114年度第 1次有擔保普通公司債,1.83,20250721,20280721,1.83,1,1,2.9506,2.8978,566.1106
B86912,P14和潤2A,20251008,和潤企業 114年度第 2次無擔保普通公司債甲券,1.93,20251008,20281008,1.93,1,1,2.9479,2.8924,564.3285
